"","IM00","IM02","IM04","IM06","IM09","IM12","IM18","IM24","IM48"
"Hs.101174",1.03203858,1.066559977,1.052405938,1.039208832,1.032777772,1.075553587,1.117346904,1.074333797,1.215403463
"Hs.1012",0.362699058,0.368734789,0.345241142,0.359224388,0.292442536,0.332986672,0.319346647,0.280285036,0.338079516
"Hs.1019",0.994720549,0.952346257,0.876637869,0.91860993,0.99360915,0.982660974,1.152407364,1.271737062,1.725918868
"Hs.101937",4.552565934,5.714155637,6.240939552,6.431001064,5.928021525,7.330106747,10.06122633,4.244661656,7.765015928
"Hs.102484",1.060753077,1.044008103,0.932275495,1.024121486,0.923524052,0.984304384,0.910499089,1.025078704,0.991394121
"Hs.103110",1.071738701,1.103412231,1.072762432,1.129643318,1.176617177,1.223747218,1.262800836,1.306541016,1.102047672
"Hs.103183",0.678374618,0.683645216,0.827999322,0.793004228,0.887262262,0.709183304,0.726938502,0.775928964,0.737062889
"Hs.104119",0.660869082,0.703773203,0.747608967,0.780089879,0.779397209,0.871124595,0.942246174,0.863712449,0.730261642
"Hs.104134",1.244719382,1.287649258,1.147265153,1.190186244,1.152890055,1.329846913,1.306848096,1.236410042,1.219134783
"Hs.104741",0.544580372,0.579975837,0.708100818,0.682107232,0.700870336,0.652735617,0.529533713,0.469939221,0.28211567
"Hs.1051",1.001269879,0.98720009,0.958416171,0.949584037,0.954837962,1.048505806,1.041541654,0.946348156,1.255253395
"Hs.105407",0.683365257,0.80263416,0.823519986,0.809149806,0.725928863,0.786288023,0.752010843,0.641709565,0.758900914
"Hs.106070",1.001742641,0.991181198,1.027737347,1.158115636,1.480951612,2.163522408,2.736706498,2.271676624,1.753741784
"Hs.1074",1.076643532,1.051747837,0.981272786,0.987972882,1.007059205,1.085537829,1.098920958,1.037381833,1.081278888
"Hs.1076",1.163918771,1.144496836,1.188897929,1.200301459,1.195756171,1.204891339,1.148599729,1.072010934,1.110672073
"Hs.108408",0.809615624,0.820449684,0.808620818,0.761075881,0.789352601,0.893325486,0.944759525,0.773709727,0.757390265
"Hs.109225",0.730403774,0.811920195,0.78196198,0.780876221,0.750974271,0.680011909,0.645913448,0.678316243,0.579399685
"Hs.109620",1.019355179,1.134433839,1.048455378,1.033489255,0.98951792,1.035018208,1.058299648,0.985909924,0.989527425
"Hs.110014",1.097380763,1.163352705,1.13360014,1.057988799,1.100957869,1.101469639,1.0676243,1.174901878,1.065751487
"Hs.110571",1.442116495,1.198340701,1.234001481,1.430683154,1.428453172,1.589164389,1.862917466,1.621539757,1.812380901
"Hs.111779",0.541216994,0.54605698,0.564182181,0.586854361,0.578741279,0.713569938,0.864909564,0.792993957,0.561104873
"Hs.112405",0.923523806,0.951407143,0.916430297,0.881819946,0.934164933,0.947889401,0.968640165,0.941167214,0.948564644
"Hs.112432",0.771969682,0.819428474,0.792222685,0.775099218,0.722995719,0.88449645,0.788676812,0.713769619,0.885256681
"Hs.113577",0.58015168,0.589834505,0.725938824,0.672777752,0.764987137,0.640919485,0.70297802,0.698161183,0.716036002
"Hs.113916",1.119626806,1.124282741,1.122630018,1.109143204,1.107532266,1.138560078,1.130022841,1.138641792,1.124579663
"Hs.115242",1.292006555,1.260549984,1.124531781,1.054049056,1.021375882,1.062457268,0.966672661,0.907839702,0.971920541
"Hs.115617",0.678040095,0.668169591,0.6451169,0.629398934,0.617500517,0.635324626,0.580589531,0.627298267,0.604872953
"Hs.116462",1.002587806,1.006071419,0.990894413,1.022024931,0.988288188,0.98831234,0.989512928,0.977594536,0.985429834
"Hs.1166",0.943099213,0.928628118,0.909645237,0.917942041,0.995261477,0.992862514,0.943111677,0.921212121,0.872026988
"Hs.117050",1.044285743,1.077964809,1.040741465,0.963117869,1.042230799,1.058664596,1.036862202,1.034932082,1.050208617
"Hs.117367",1.178290648,1.371390849,1.42103389,1.450025471,1.359211597,1.369341576,1.531830446,1.126840481,1.42633825
"Hs.118651",1.313999112,0.640615732,0.443389703,0.482672885,0.427605967,0.333973789,0.31084133,0.299591009,0.287241683
"Hs.118681",0.699885909,0.705001494,0.713184011,0.751132779,0.757164372,0.802076091,0.816116383,0.711155979,0.726455587
"Hs.119689",0.464622449,0.473036465,0.460714406,0.489721748,0.439202682,0.434953248,0.436571367,0.433655162,0.427881157
"Hs.119825",0.267670377,0.273033444,0.233033528,0.266320171,0.226402578,0.221840046,0.237925514,0.237416436,0.229409711
"Hs.119882",0.048217878,0.051238588,0.049993321,0.050284699,0.044196975,0.050220464,0.050713802,0.051446158,0.053323997
"Hs.120759",0.134117868,0.138427123,0.131995406,0.136624422,0.130469398,0.139874871,0.133766002,0.130426031,0.138628217
"Hs.120949",1.020900464,1.026918138,1.067888274,1.064453093,1.124892328,1.02397804,1.067964022,1.085145315,1.026198974
"Hs.1211",0.182013301,0.195797637,0.190630619,0.207628591,0.147827332,0.190317614,0.174594875,0.154899382,0.188471037
